 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 30   # Spanwise = 20     First strip =  1
     Surface area =    5.000000       Ave. chord =    1.000000
     CLsurf  =   0.04284     Clsurf  =  -0.00983
     CYsurf  =   0.00000     Cmsurf  =  -0.01045
     CDsurf  =   0.00012     Cnsurf  =  -0.00014
     CDisurf =   0.00012     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.08567     CDsurf  =   0.00024
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   0.1250   1.0000   0.2500   0.0967   0.0038   0.0967   0.0967   0.0002   0.0000   0.0001  -0.0241    0.249
     2   0.3750   1.0000   0.2500   0.0966   0.0038   0.0966   0.0966   0.0002   0.0000   0.0001  -0.0240    0.249
     3   0.6250   1.0000   0.2500   0.0965   0.0039   0.0965   0.0965   0.0002   0.0000   0.0001  -0.0240    0.249
     4   0.8750   1.0000   0.2500   0.0962   0.0039   0.0962   0.0962   0.0002   0.0000   0.0001  -0.0239    0.249
     5   1.1250   1.0000   0.2500   0.0959   0.0040   0.0959   0.0959   0.0002   0.0000   0.0001  -0.0238    0.249
     6   1.3750   1.0000   0.2500   0.0955   0.0041   0.0955   0.0955   0.0002   0.0000   0.0002  -0.0237    0.248
     7   1.6250   1.0000   0.2500   0.0950   0.0042   0.0950   0.0950   0.0002   0.0000   0.0002  -0.0236    0.248
     8   1.8750   1.0000   0.2500   0.0944   0.0044   0.0944   0.0944   0.0002   0.0000   0.0002  -0.0234    0.248
     9   2.1250   1.0000   0.2500   0.0936   0.0046   0.0936   0.0936   0.0002   0.0000   0.0002  -0.0232    0.248
    10   2.3750   1.0000   0.2500   0.0927   0.0048   0.0927   0.0927   0.0002   0.0000   0.0002  -0.0229    0.247
    11   2.6250   1.0000   0.2500   0.0915   0.0051   0.0915   0.0915   0.0002   0.0000   0.0003  -0.0226    0.247
    12   2.8750   1.0000   0.2500   0.0901   0.0054   0.0901   0.0901   0.0002   0.0000   0.0003  -0.0222    0.246
    13   3.1250   1.0000   0.2500   0.0883   0.0058   0.0883   0.0883   0.0003   0.0000   0.0004  -0.0217    0.246
    14   3.3750   1.0000   0.2500   0.0861   0.0062   0.0861   0.0861   0.0003   0.0000   0.0005  -0.0210    0.244
    15   3.6250   1.0000   0.2500   0.0833   0.0068   0.0833   0.0833   0.0003   0.0000   0.0006  -0.0202    0.243
    16   3.8750   1.0000   0.2500   0.0796   0.0075   0.0796   0.0796   0.0003   0.0000   0.0008  -0.0191    0.240
    17   4.1250   1.0000   0.2500   0.0746   0.0084   0.0746   0.0746   0.0003   0.0000   0.0010  -0.0177    0.237
    18   4.3750   1.0000   0.2500   0.0678   0.0094   0.0678   0.0678   0.0003   0.0000   0.0013  -0.0157    0.231
    19   4.6250   1.0000   0.2500   0.0577   0.0107   0.0577   0.0577   0.0003   0.0000   0.0016  -0.0128    0.222
    20   4.8750   1.0000   0.2500   0.0411   0.0122   0.0411   0.0411   0.0003   0.0000   0.0019  -0.0084    0.205
 ---------------------------------------------------------------
