# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
5

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,PropGeom,0,KUFXXSEKEB,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,17,33
# x,y,z,u,w
2.530678024590093944e-01, 1.000000000000002442e+00, 4.312269557420638777e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
2.266034899016017845e-01, 1.000000000000002442e+00, 3.679327910451478112e-01, 1.000000000000000000e+00, 1.380091881193345749e-01
1.958775323945987912e-01, 1.000000000000002442e+00, 2.963904736363058290e-01, 1.000000000000000000e+00, 2.901012507366162452e-01
1.612467769744798385e-01, 1.000000000000002442e+00, 2.179959806801182176e-01, 1.000000000000000000e+00, 4.575110132432909094e-01
1.234291616838854716e-01, 1.000000000000002442e+00, 1.349926471832768038e-01, 1.000000000000000000e+00, 6.356833609081605774e-01
8.343762084578359994e-02, 1.000000000000002442e+00, 5.029482678487410402e-02, 1.000000000000000000e+00, 8.186458953021423790e-01
4.244935255901366444e-02, 1.000000000000002442e+00, -3.286724072624842841e-02, 1.000000000000000000e+00, 9.997533059606336092e-01
1.661919942881398158e-03, 1.000000000000002442e+00, -1.114046977211053113e-01, 1.000000000000000000e+00, 1.172623954372943311e+00
-3.782744944874606718e-02, 1.000000000000002442e+00, -1.827992786988328344e-01, 1.000000000000000000e+00, 1.331999999999999851e+00
-7.510874123151625725e-02, 1.000000000000002442e+00, -2.453807725012621677e-01, 1.000000000000000000e+00, 1.474298505623372391e+00
-1.095257676790675344e-01, 1.000000000000002442e+00, -2.983863935274833623e-01, 1.000000000000000000e+00, 1.597757860725375290e+00
-1.407024063255820912e-01, 1.000000000000002442e+00, -3.418396551842034503e-01, 1.000000000000000000e+00, 1.702235279189071804e+00
-1.685596139263224880e-01, 1.000000000000002442e+00, -3.762959365084574404e-01, 1.000000000000000000e+00, 1.788800324048519741e+00
-1.932962156438658985e-01, 1.000000000000002442e+00, -4.025449980492407098e-01, 1.000000000000000000e+00, 1.859276813366963266e+00
-2.153857763382843460e-01, 1.000000000000002442e+00, -4.212298874920487046e-01, 1.000000000000000000e+00, 1.915839938078299554e+00
-2.355575560688576431e-01, 1.000000000000002442e+00, -4.320369611945589217e-01, 1.000000000000000000e+00, 1.960717515824380142e+00
-2.530678024590093944e-01, 1.000000000000002442e+00, -4.312269557420638777e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
-2.623139003216160003e-01, 1.000000000000002442e+00, -4.163348601275451699e-01, 1.000000000000000000e+00, 2.039282484175619636e+00
-2.627157612241647344e-01, 1.000000000000002442e+00, -3.934540374298090004e-01, 1.000000000000000000e+00, 2.084160061921700446e+00
-2.571752080203911772e-01, 1.000000000000002220e+00, -3.650572760764687619e-01, 1.000000000000000000e+00, 2.140723186633036512e+00
-2.463216895172820331e-01, 1.000000000000002442e+00, -3.306608542799082673e-01, 1.000000000000000000e+00, 2.211199675951480259e+00
-2.298247366835656780e-01, 1.000000000000002442e+00, -2.895377478164010143e-01, 1.000000000000000000e+00, 2.297764720810928196e+00
-2.070918169162037636e-01, 1.000000000000002442e+00, -2.411292454149278064e-01, 1.000000000000000000e+00, 2.402242139274624932e+00
-1.775995179051375050e-01, 1.000000000000002442e+00, -1.852335222430367412e-01, 1.000000000000000000e+00, 2.525701494376627387e+00
-1.411438941336388975e-01, 1.000000000000002665e+00, -1.221674808343155283e-01, 1.000000000000000000e+00, 2.668000000000000149e+00
-9.807089361538054439e-02, 1.000000000000002442e+00, -5.287597259349416379e-02, 1.000000000000000000e+00, 2.827376045627056467e+00
-4.939490123231960600e-02, 1.000000000000002442e+00, 2.103204169561210049e-02, 1.000000000000000000e+00, 3.000246694039366613e+00
3.220610247320135778e-03, 1.000000000000002442e+00, 9.737060050836801595e-02, 1.000000000000000000e+00, 3.181354104697857288e+00
5.766294885423554201e-02, 1.000000000000002442e+00, 1.735878943848604417e-01, 1.000000000000000000e+00, 3.364316639091839534e+00
1.116860596515624471e-01, 1.000000000000002442e+00, 2.470809477820010147e-01, 1.000000000000000000e+00, 3.542488986756708869e+00
1.632395642774348010e-01, 1.000000000000002442e+00, 3.155442365404003136e-01, 1.000000000000000000e+00, 3.709898749263383699e+00
2.107150526729265616e-01, 1.000000000000002442e+00, 3.772570038301457096e-01, 1.000000000000000000e+00, 3.861990811880665397e+00
2.530678024590093944e-01, 1.000000000000002442e+00, 4.312269557420638777e-01, 1.000000000000000000e+00, 4.000000000000000000e+00
2.308845124453171305e-01, 1.269094755259707830e+00, 4.143117326603664718e-01, 1.067273688814927013e+00, 0.000000000000000000e+00
2.071247472448538851e-01, 1.269094755259707830e+00, 3.537261260344598535e-01, 1.067273688814927013e+00, 1.380091881193345749e-01
1.794977543347836824e-01, 1.269094755259707830e+00, 2.852281442715908777e-01, 1.067273688814927013e+00, 2.901012507366162452e-01
1.483124429494162566e-01, 1.269094755259707830e+00, 2.101492306807112576e-01, 1.067273688814927013e+00, 4.575110132432909094e-01
1.142022549454767555e-01, 1.269094755259708052e+00, 1.306320689808748714e-01, 1.067273688814927013e+00, 6.356833609081605774e-01
7.806621077253125818e-02, 1.269094755259707830e+00, 4.946195163129488148e-02, 1.067273688814927013e+00, 8.186458953021423790e-01
4.095243501710751910e-02, 1.269094755259707830e+00, -3.027278006003929559e-02, 1.067273688814927013e+00, 9.997533059606336092e-01
3.931354792983628166e-03, 1.269094755259707830e+00, -1.056174364576742686e-01, 1.067273688814927013e+00, 1.172623954372943311e+00
-3.200969467414891551e-02, 1.269094755259707830e+00, -1.741605800664465242e-01, 1.067273688814927013e+00, 1.331999999999999851e+00
-6.604299600270900628e-02, 1.269094755259707830e+00, -2.342989983297005530e-01, 1.067273688814927013e+00, 1.474298505623372391e+00
-9.756236852214279776e-02, 1.269094755259707830e+00, -2.852954176455785862e-01, 1.067273688814927013e+00, 1.597757860725375290e+00
-1.262106128826371576e-01, 1.269094755259707830e+00, -3.271641856281026217e-01, 1.067273688814927013e+00, 1.702235279189071804e+00
-1.519010256006380899e-01, 1.269094755259707830e+00, -3.604303345116378621e-01, 1.067273688814927013e+00, 1.788800324048519741e+00
-1.748054693634363554e-01, 1.269094755259707830e+00, -3.858470508003910004e-01, 1.067273688814927013e+00, 1.859276813366963266e+00
-1.953594627077800960e-01, 1.269094755259707830e+00, -4.040341916818543933e-01, 1.067273688814927013e+00, 1.915839938078299554e+00
-2.142612428683765557e-01, 1.269094755259707830e+00, -4.147097253165983322e-01, 1.067273688814927013e+00, 1.960717515824380142e+00
-2.308845124453171305e-01, 1.269094755259707830e+00, -4.143117326603664718e-01, 1.067273688814927013e+00, 2.000000000000000000e+00
-2.399680480655180526e-01, 1.269094755259707830e+00, -4.003840311192429224e-01, 1.067273688814927013e+00, 2.039282484175619636e+00
-2.408328909889826397e-01, 1.269094755259707830e+00, -3.786931030998198500e-01, 1.067273688814927013e+00, 2.084160061921700446e+00
-2.361787570480469445e-01, 1.269094755259707830e+00, -3.516454086860371087e-01, 1.067273688814927013e+00, 2.140723186633036512e+00
-2.266128214296256327e-01, 1.269094755259707830e+00, -3.187955093447848998e-01, 1.067273688814927013e+00, 2.211199675951480259e+00
-2.118370483771561674e-01, 1.269094755259707830e+00, -2.794469325234482660e-01, 1.067273688814927013e+00, 2.297764720810928196e+00
-1.913013112529007576e-01, 1.269094755259707830e+00, -2.330572877945163435e-01, 1.067273688814927013e+00, 2.402242139274624932e+00
-1.645134897877815472e-01, 1.269094755259707830e+00, -1.794241054517483336e-01, 1.067273688814927013e+00, 2.525701494376627387e+00
-1.312734689807592003e-01, 1.269094755259707830e+00, -1.188436138123153130e-01, 1.067273688814927013e+00, 2.668000000000000149e+00
-9.188935919116811291e-02, 1.269094755259707830e+00, -5.221919284933008998e-02, 1.067273688814927013e+00, 2.827376045627056467e+00
-4.728915428174512714e-02, 1.269094755259707830e+00, 1.890182620042892350e-02, 1.067273688814927013e+00, 3.000246694039366613e+00
9.957767299906307434e-04, 1.269094755259707830e+00, 9.241118088338631797e-02, 1.067273688814927013e+00, 3.181354104697857288e+00
5.101577454312272719e-02, 1.269094755259707830e+00, 1.658441534351489666e-01, 1.067273688814927013e+00, 3.364316639091839534e+00
1.006957844995429729e-01, 1.269094755259707830e+00, 2.366846823800402011e-01, 1.067273688814927013e+00, 3.542488986756708869e+00
1.481400366849985883e-01, 1.269094755259707830e+00, 3.027029362705508930e-01, 1.067273688814927013e+00, 3.709898749263383699e+00
1.918595467052675307e-01, 1.269094755259708052e+00, 3.622330016696927446e-01, 1.067273688814927013e+00, 3.861990811880665397e+00
2.308845124453171305e-01, 1.269094755259707830e+00, 4.143117326603664718e-01, 1.067273688814927013e+00, 4.000000000000000000e+00
2.067825123291719969e-01, 1.574500503487180181e+00, 3.941907356701702669e-01, 1.143625125871795323e+00, 0.000000000000000000e+00
1.859291152500555655e-01, 1.574500503487180181e+00, 3.367849094554342115e-01, 1.143625125871795323e+00, 1.380091881193345749e-01
1.616352822549786128e-01, 1.574500503487180403e+00, 2.718638403976863516e-01, 1.143625125871795323e+00, 2.901012507366162452e-01
1.341592284235621213e-01, 1.574500503487180181e+00, 2.006840303327004915e-01, 1.143625125871795323e+00, 4.575110132432909094e-01
1.040443903889327754e-01, 1.574500503487180847e+00, 1.252707959698798335e-01, 1.143625125871795323e+00, 6.356833609081605774e-01
7.206811823018935415e-02, 1.574500503487180181e+00, 4.825865809230860115e-02, 1.143625125871795323e+00, 8.186458953021423790e-01
3.914045878871752482e-02, 1.574500503487180181e+00, -2.743000065238285212e-02, 1.143625125871795323e+00, 9.997533059606336092e-01
6.195555891234719864e-03, 1.574500503487180181e+00, -9.899766109241710244e-02, 1.143625125871795323e+00, 1.172623954372943311e+00
-2.589750835212901309e-02, 1.574500503487180403e+00, -1.641584592602147452e-01, 1.143625125871795323e+00, 1.331999999999999851e+00
-5.640022082106832535e-02, 1.574500503487180181e+00, -2.213886022012671317e-01, 1.143625125871795323e+00, 1.474298505623372391e+00
-8.476136007125867344e-02, 1.574500503487180181e+00, -2.699819854708178091e-01, 1.143625125871795323e+00, 1.597757860725375290e+00
-1.106454587094024694e-01, 1.574500503487180181e+00, -3.099435909455012794e-01, 1.143625125871795323e+00, 1.702235279189071804e+00
-1.339587078040325452e-01, 1.574500503487180403e+00, -3.417639492124242562e-01, 1.143625125871795323e+00, 1.788800324048519741e+00
-1.548444710334946905e-01, 1.574500503487180181e+00, -3.661537845250926737e-01, 1.143625125871795323e+00, 1.859276813366963266e+00
-1.736966407054970629e-01, 1.574500503487180181e+00, -3.837049893104961806e-01, 1.143625125871795323e+00, 1.915839938078299554e+00
-1.911770024831699888e-01, 1.574500503487180181e+00, -3.941695340787932933e-01, 1.143625125871795323e+00, 1.960717515824380142e+00
-2.067825123291719969e-01, 1.574500503487180181e+00, -3.941907356701702669e-01, 1.143625125871795323e+00, 2.000000000000000000e+00
-2.156353599313715341e-01, 1.574500503487180181e+00, -3.813392969805375898e-01, 1.143625125871795323e+00, 2.039282484175619636e+00
-2.169616576831991939e-01, 1.574500503487180181e+00, -3.610092532186682246e-01, 1.143625125871795323e+00, 2.084160061921700446e+00
-2.132371727500200764e-01, 1.574500503487179959e+00, -3.355224467740847150e-01, 1.143625125871795323e+00, 2.140723186633036512e+00
-2.050421347008770934e-01, 1.574500503487180403e+00, -3.044753772887153764e-01, 1.143625125871795323e+00, 2.211199675951480259e+00
-1.921134571743845498e-01, 1.574500503487180181e+00, -2.672075348370848147e-01, 1.143625125871795323e+00, 2.297764720810928196e+00
-1.739478828827478729e-01, 1.574500503487180181e+00, -2.231969862711052632e-01, 1.143625125871795323e+00, 2.402242139274624932e+00
